Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Getting better,Chrome 120.0.0.0,,,24-01-2024 16:28:37,24-01-2024 16:28:51,13.414s,PASSED
,,,,,,,
Test Cases/Practice,Chrome 120.0.0.0,Clicking on random elements,,24-01-2024 16:28:38,24-01-2024 16:28:45,7.086s,PASSED
"openBrowser("""")",Chrome 120.0.0.0,,,24-01-2024 16:28:38,24-01-2024 16:28:41,2.784s,PASSED
"navigateToUrl(""https://katalon-demo-cura.herokuapp.com/"")",Chrome 120.0.0.0,,,24-01-2024 16:28:41,24-01-2024 16:28:42,1.193s,PASSED
"click(findTestObject(""Object Repository/Page_CURA Healthcare Service/h1_CURA Healthcare Service""))",Chrome 120.0.0.0,,,24-01-2024 16:28:42,24-01-2024 16:28:43,0.502s,PASSED
"click(findTestObject(""Object Repository/Page_CURA Healthcare Service/a_Make Appointment""))",Chrome 120.0.0.0,,,24-01-2024 16:28:43,24-01-2024 16:28:43,0.612s,PASSED
"click(findTestObject(""Object Repository/Page_CURA Healthcare Service/i_fa fa-facebook fa-fw fa-3x""))",Chrome 120.0.0.0,,,24-01-2024 16:28:43,24-01-2024 16:28:44,0.387s,PASSED
"click(findTestObject(""Object Repository/Page_CURA Healthcare Service/i_fa fa-twitter fa-fw fa-3x""))",Chrome 120.0.0.0,,,24-01-2024 16:28:44,24-01-2024 16:28:44,0.380s,PASSED
"click(findTestObject(""Object Repository/Page_CURA Healthcare Service/i_fa fa-dribbble fa-fw fa-3x""))",Chrome 120.0.0.0,,,24-01-2024 16:28:44,24-01-2024 16:28:44,0.441s,PASSED
closeBrowser(),Chrome 120.0.0.0,,,24-01-2024 16:28:44,24-01-2024 16:28:45,0.405s,PASSED
,,,,,,,
Test Cases/Practice,Chrome 120.0.0.0,Clicking on random elements,,24-01-2024 16:28:45,24-01-2024 16:28:51,6.023s,PASSED
"openBrowser("""")",Chrome 120.0.0.0,,,24-01-2024 16:28:45,24-01-2024 16:28:46,1.226s,PASSED
"navigateToUrl(""https://katalon-demo-cura.herokuapp.com/"")",Chrome 120.0.0.0,,,24-01-2024 16:28:46,24-01-2024 16:28:48,2.155s,PASSED
"click(findTestObject(""Object Repository/Page_CURA Healthcare Service/h1_CURA Healthcare Service""))",Chrome 120.0.0.0,,,24-01-2024 16:28:48,24-01-2024 16:28:49,0.397s,PASSED
"click(findTestObject(""Object Repository/Page_CURA Healthcare Service/a_Make Appointment""))",Chrome 120.0.0.0,,,24-01-2024 16:28:49,24-01-2024 16:28:49,0.601s,PASSED
"click(findTestObject(""Object Repository/Page_CURA Healthcare Service/i_fa fa-facebook fa-fw fa-3x""))",Chrome 120.0.0.0,,,24-01-2024 16:28:49,24-01-2024 16:28:50,0.399s,PASSED
"click(findTestObject(""Object Repository/Page_CURA Healthcare Service/i_fa fa-twitter fa-fw fa-3x""))",Chrome 120.0.0.0,,,24-01-2024 16:28:50,24-01-2024 16:28:50,0.378s,PASSED
"click(findTestObject(""Object Repository/Page_CURA Healthcare Service/i_fa fa-dribbble fa-fw fa-3x""))",Chrome 120.0.0.0,,,24-01-2024 16:28:50,24-01-2024 16:28:50,0.397s,PASSED
closeBrowser(),Chrome 120.0.0.0,,,24-01-2024 16:28:50,24-01-2024 16:28:51,0.422s,PASSED
